Subsystems,t0005,t0060,t1440,t2880,Genes
"Fatty acid activation",0,0,0,0,ACSL1
"Fatty acid activation",0,0,-1000,0,ACSL1
"Fatty acid activation",0,0,0,0,ACSL1
"Fatty acid activation",0,0,1000,0,ACSL1,ACSL3,ACSL4,,
"Fatty acid activation",0,0,0,0,ACSL1
"Fatty acid activation",0,0,0,0,SLC27A2
"Fatty acid activation",0,0,0,0,ACSL1
"Fatty acid activation",0,0,0,0,ACSL1
"Fatty acid activation",0,0,0,0,ACSL1
"Fatty acid activation",-1000,-1000,0,0,ACSL1
"Fatty acid activation",1000,1000,0,0,
"Fatty acid activation",0,0,0,0,ACSL1
"Fatty acid activation",0,0,0,0,ACSL1
"Fatty acid activation",0,0,0,0,ACSL1
"Fatty acid activation",0,0,0,0,ACSL1
"Fatty acid activation",0,0,0,0,ACSL1
"Fatty acid activation",0,0,0,0,ACSL1
"Fatty acid activation",0,0,0,0,ACSL1
"Fatty acid activation",0,0,0,0,ACSM1
"Fatty acid activation",0,0,0,0,ACSL3
"Riboflavin Metabolism",0.001,0.001,0.001,0.001,ENPP1
"Transport, Endoplasmic Reticular",0.01872733,0.0167426,0.01681891,0.01679601,
"Transport, Peroxisomal",0.002,0,0,0,
"Transport, Endoplasmic Reticular",0.01872733,0.0167426,0.01681891,0.01679601,
"Transport, Peroxisomal",-0.002,0,0,0,
"Fatty acid elongation",0,0,0,0,ELOVL4
"Fatty acid elongation",0,0,0,0,ELOVL4
"Fatty acid elongation",0,0,0,0,ELOVL4
"Fatty acid elongation",0,0,0,0,ELOVL4
"CYP Metabolism",0,0,0,0,CYP4A11
"CYP Metabolism",0,0,0,0,CYP4A11
"CYP Metabolism",0,0,0,0,CYP4A11
"Tyrosine metabolism",0,0,-0.03926985,-0.1656046,ADH5
"Transport, Lysosomal",0,0,0,0,
"Transport, Mitochondrial",0,0,0,0,
"Fatty acid oxidation",0,0,0,0,ACADM
"Fatty acid oxidation",0.001,0.001,0.001,0.001,ACADM,ACADS
"Fatty acid oxidation",0,0,0,0,ACADM,ACADS
"Fatty acid oxidation",0.005,0.005,0,0.005,ACADM,ACADS
"Fatty acid oxidation",0,0,0.005,0,ACADM,ACADS
"Fatty acid oxidation, peroxisome",0,0,0,0,EHHADH,ACAA1,HSD17B4,ACOX1
"Fatty acid activation",0.001,0.001,0.001,0.001,ACADM,ACADS
"Fatty acid oxidation",0.001,0.001,0.001,0.001,ACADM,ACADS
"Fatty acid oxidation",0,0,0,0,ACADM
"Fatty acid oxidation",0.001,0.001,0.001,0.001,ACADM,ACADS
"Fatty acid oxidation, peroxisome",0,0,0,0,EHHADH,ACAA1,HSD17B4,ACOX1
"Fatty acid oxidation",0.001,0.001,0.001,0.001,ACADM,ACADS
"Fatty acid oxidation",0.001,0.001,0.001,0.001,ACADM,ACADS
"Fatty acid oxidation",0.001,0.001,0.001,0.001,ACADM,ACADS
"Fatty acid oxidation",0,0,0,0,ACADM,ACADS
"Fatty acid oxidation",0.001,0.001,0.001,0.001,ACADM,ACADS
"Fatty acid oxidation",0,0,0,0,ACADM,ACADS
"Fatty acid oxidation",0,0,0,0,ACADM,ACADS
"Fatty acid oxidation, peroxisome",0,0,0,0,EHHADH,ACAA1,HSD17B4,ACOX1
"Fatty acid oxidation",0,0,0,0,ACADM,ACADS
"Fatty acid oxidation, peroxisome",0,0,0,0,EHHADH,ACAA1,HSD17B4,ACOX1
"Fatty acid oxidation",0,0,0,0,ACADM,ACADS
"Fatty acid oxidation, peroxisome",0,0,0,0,EHHADH,ACAA1,HSD17B4,ACOX1
"Fatty acid oxidation",0,0,0,0,ACADM,ACADS
"Fatty acid oxidation",0,0,0,0,ACADM,ACADS
"Fatty acid oxidation",0,0,0,0,ACADM,ACADS
"Fatty acid oxidation",0,0,0,0,ACADM,ACADS
"Fatty acid oxidation, peroxisome",0,0,0,0,EHHADH,ACAA1,HSD17B4,ACOX1
"Fatty acid oxidation",0,0,0,0,ACADM,ACADS
"Fatty acid oxidation, peroxisome",0,0,0,0,EHHADH,ACAA1,HSD17B4,ACOX1
"Fatty acid oxidation",0,0,0,0,ACADM,ACADS
"Fatty acid oxidation, peroxisome",0,0,0,0,EHHADH,ACAA1,HSD17B4,ACOX1
"Fatty acid oxidation",0,0,0,0,ACADM,ACADS
"Fatty acid oxidation, peroxisome",0,0,0,0,EHHADH,ACAA1,HSD17B4,ACOX1
"Fatty acid oxidation",0,0,0,0,ACADM,ACADS
"Fatty acid oxidation",0,0,0,0,ACADM,ACADS
"Fatty acid oxidation, peroxisome",0,0,0,0,EHHADH,ACAA1,HSD17B4,ACOX1
"Fatty acid oxidation, peroxisome",0,0,0,0,EHHADH,ACAA1,HSD17B4,ACOX1
"Fatty acid oxidation, peroxisome",0,0,0,0,EHHADH,ACAA1,HSD17B4,ACOX1
"Fatty acid oxidation, peroxisome",0,0,0,0,EHHADH,ACAA1,HSD17B4,ACOX1
"Fatty acid oxidation, peroxisome",0,0,0,0,EHHADH,ACAA1,HSD17B4,ACOX1
"Fatty acid oxidation, peroxisome",0,0,0,0,EHHADH,ACAA1,HSD17B4,ACOX1
"Fatty acid oxidation, peroxisome",0,0,0,0,EHHADH,ACAA1,HSD17B4,ACOX1
"Fatty acid oxidation, peroxisome",0,0,0,0,EHHADH,ACAA1,HSD17B4,ACOX1
"Fatty acid oxidation",0.006,0.006,0.011,0.006,ACADM,ACADS
"Fatty acid elongation",0.2746169,0.001,0.2760546,0.2756952,FASN
"Fatty acid elongation",0.2746169,0.001,0.2760546,0.2756952,FASN
"Fatty acid elongation",0.2746169,0.001,0.2760546,0.2756952,FASN
"Fatty acid elongation",0.2651534,0,0.1486335,0.2746952,FASN
"Fatty acid elongation",0.0134635,0.005,0.1314211,0.005,FASN
"Fatty acid elongation",0.2746169,0.001,0.2760546,0.2756952,FASN
"Transport, Extracellular",-100,-100,-100,-100,SLC27A4,SLC27A3,SLC27A1
"Transport, Extracellular",-100,-100,-100,-100,SLC27A1
"Transport, Extracellular",-100,-100,-100,-100,SLC27A1
"Transport, Extracellular",-100,-100,-100,-100,SLC27A5
"Transport, Extracellular",-100,-100,-100,-100,SLC27A5
"Transport, Extracellular",-100,-100,-100,-100,SLC27A5,SLC27A2
"Transport, Extracellular",-100,-100,-100,-100,SLC27A5,SLC27A2
"Transport, Extracellular",-100,-100,-100,-100,SLC27A5,SLC27A2
"Transport, Extracellular",-100,-100,-100,-100,SLC27A5,SLC27A2
"Glycolysis/Gluconeogenesis",0.9232509,0.7004944,1.653124,1.657344,ALDOA,ALDOB,ALDOC
"Fructose and Mannose Metabolism",0,0,0,0,ALDOA,ALDOB,ALDOC
"Glyoxylate and Dicarboxylate Metabolism",0,0,0,0,ALDOA,ALDOB,ALDOC
"Galactose metabolism",0,0,0,0,ALDOB
"Glycolysis/Gluconeogenesis",0,0,0,0,FBP1,FBP2
"Fructose and Mannose Metabolism",0,0,0,0,FBP1,PFKFB1,PFKFB2,PFKFB3,PFKFB4,FBP2
"Heme Biosynthesis",0.002,0.002,0,0.001,FECH
"Fatty Acid Metabolism",0,0,0,0,
"Fatty Acid Metabolism",0.1754304,0,0,0,ALDH1L1
"Transport, Extracellular",0.002,0.002,0,0.001,
"Transport, Mitochondrial",0.002,0.002,0,0.001,
"Heme Biosynthesis",0,0,0,0,CYBRD1
"Fructose and Mannose Metabolism",0,0,0,0,FUK
"Tryptophan metabolism",0.04895511,0.04895415,0.04894938,0.04895081,
"Riboflavin Metabolism",0.001,0.001,0.001,0.001,FLAD1
"Folate Metabolism",0.001,0.001,0.001,0.001,DHFR
"Transport, Extracellular",0.001,0.001,0.001,0.001,SLC19A1
"Transport, Peroxisomal",0,0,0,0,
"Transport, Mitochondrial",-999.8923,-1000,-1000,-999.9001,
"Transport, Endoplasmic Reticular",-0.01872733,-0.0167426,-0.01681891,-0.01679601,
"Transport, Nuclear",0,0,0,0,
"Folate Metabolism",0,0,0,0,FPGS
"Folate Metabolism",0,0,0,0,FPGS
"Folate Metabolism",0,0,0,0,FPGS
"Folate Metabolism",0,0,0,0,FPGS
"Folate Metabolism",0,0,0,0,FPGS
"Folate Metabolism",0,0,0,0,FPGS
"Folate Metabolism",0,0,0,0,FPGS
"Folate Metabolism",0,0,0,0,FPGS
"Folate Metabolism",0,0,0,0,FPGS
"Folate Metabolism",0,0,0,0,FPGS
"Folate Metabolism",0,0,0,0,FPGS
"Folate Metabolism",0,0,0,0,FPGS
"Folate Metabolism",0,0,0,0,FPGS
"Folate Metabolism",0,0,0,0,FPGS
"Folate Metabolism",0,0,0,0,FPGS
"Folate Metabolism",0,0,0,0,FPGS
"Folate Metabolism",0,0,0,0,FPGS
"Folate Metabolism",0,0,0,0,FPGS
"Transport, Peroxisomal",0,0,0,0,
"Transport, Peroxisomal",0.03745467,0.03348519,0.03363782,0.03359203,
"Cholesterol Metabolism",0,0,0,0,GGPS1
"Transport, Extracellular",100,-100,-100,100,SLC2A7,SLC2A8,SLC2A2,SLC2A5,SLC2A11
"Transport, Extracellular",-100,100,100,-100,SLC5A9
"N-Glycan Biosynthesis",0,0,0,0,
"Folate Metabolism",0.01764997,0.01762045,0.01747287,0.01751714,FTCD
"Folate Metabolism",0,0,0,0,MTHFS
"Folate Metabolism",0,0.1724691,0,0,ALDH1L1
"Folate Metabolism",-1000,-999.9343,-999.9725,-1000,LOC286297,MTHFD1
"Folate Metabolism",999.8923,1000,1000,999.9001,MTHFD1L
"Transport, Extracellular",0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,
"Keratan sulfate degradation",0,0,0,0,FUCA2
"Keratan sulfate degradation",0,0,0,0,FUCA1
"N-Glycan Degradation",0,0,0,0,FUCA2
"N-Glycan Degradation",0,0,0,0,FUCA1
"Transport, Extracellular",0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,
"Transport, Lysosomal",0,0,0,0,
"Citric Acid Cycle",0.1217288,0.1217477,-999.6069,-999.8041,FH
"Tyrosine metabolism",0.08955105,0.08954152,0.08949385,0.08950815,FAH
"Transport, Mitochondrial",1000,1000,1000,-1000,SLC25A10
"Transport, Mitochondrial",-1000,-1000,-0.2712312,1000,SLC25A10
"Transport, Mitochondrial",-1000,-1000,-1000,2.318586,SLC25A10
"Citric Acid Cycle",0.2598379,0.06616304,1000,1000,FH
"Transport, Mitochondrial",1000,1000,1000,997.6063,SLC25A10
"Sphingolipid Metabolism",0,0,0,0,FUT1
"Blood Group Biosynthesis",0,0,0,0,FUT1
"Blood Group Biosynthesis",0,0,0,0,FUT1
"Blood Group Biosynthesis",0,0,0,0,FUT1
"Blood Group Biosynthesis",0,0,0,0,FUT1
"Blood Group Biosynthesis",0,0,0,0,FUT1
"Blood Group Biosynthesis",0,0,0,0,FUT1
"Blood Group Biosynthesis",0,0,0,0,FUT3
"Blood Group Biosynthesis",0,0,0,0,FUT3
"Blood Group Biosynthesis",0,0,0,0,FUT3
"Blood Group Biosynthesis",0,0,0,0,FUT3
"Blood Group Biosynthesis",0,0,0,0,FUT3
"Blood Group Biosynthesis",0,0,0,0,FUT9
"Blood Group Biosynthesis",0,0,0,0,FUT9
"Blood Group Biosynthesis",0,0,0,0,FUT9
"Blood Group Biosynthesis",0,0,0,0,FUT9
"Blood Group Biosynthesis",0,0,0,0,FUT9
"Blood Group Biosynthesis",0,0,0,0,FUT9
"Blood Group Biosynthesis",0,0,0,0,FUT9
"Blood Group Biosynthesis",0,0,0,0,FUT9
"Blood Group Biosynthesis",0,0,0,0,FUT9
"Blood Group Biosynthesis",0,0,0,0,FUT9
"Blood Group Biosynthesis",0,0,0,0,FUT9
"N-Glycan Biosynthesis",0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,ALG2
"N-Glycan Biosynthesis",0,0,0,0,ALG2
"Keratan sulfate biosynthesis",0,0,0,0,B4GALT1,B4GALT3,B4GALT2,B4GALT5
"Keratan sulfate biosynthesis",0,0,0,0,B4GALT1,B4GALT3,B4GALT2,B4GALT5
"Keratan sulfate biosynthesis",0,0,0,0,B4GALT1,B4GALT3,B4GALT2,B4GALT5
"Keratan sulfate biosynthesis",0,0,0,0,B4GALT1,B4GALT3,B4GALT2,B4GALT5
"Keratan sulfate biosynthesis",0,0,0,0,B4GALT1,B4GALT3,B4GALT2,B4GALT5
"Keratan sulfate biosynthesis",0,0,0,0,B4GALT1,B4GALT3,B4GALT2,B4GALT5
"Keratan sulfate biosynthesis",0,0,0,0,B4GALT1,B4GALT3,B4GALT2,B4GALT5
"Keratan sulfate biosynthesis",0,0,0,0,B4GALT1,B4GALT3,B4GALT2,B4GALT5
"Keratan sulfate biosynthesis",0,0,0,0,B4GALT1,B4GALT3,B4GALT2,B4GALT5
"Keratan sulfate biosynthesis",0,0,0,0,B4GALT1,B4GALT3,B4GALT2,B4GALT5
"Keratan sulfate biosynthesis",0,0,0,0,B4GALT1,B4GALT3,B4GALT2,B4GALT5
"Keratan sulfate biosynthesis",0,0,0,0,B4GALT1,B4GALT3,B4GALT2,B4GALT5
"Keratan sulfate biosynthesis",0,0,0,0,B4GALT1,B4GALT3,B4GALT2,B4GALT5
"Keratan sulfate biosynthesis",0,0,0,0,B4GALT1,B4GALT3,B4GALT2,B4GALT5
"Keratan sulfate biosynthesis",0,0,0,0,B4GALT1,B4GALT3,B4GALT2,B4GALT5
"Keratan sulfate biosynthesis",0,0,0,0,B4GALT1,B4GALT3,B4GALT2,B4GALT5
"Keratan sulfate biosynthesis",0,0,0,0,B4GALT1,B4GALT3,B4GALT2,B4GALT5
"Keratan sulfate biosynthesis",0,0,0,0,B4GALT1,B4GALT3,B4GALT2,B4GALT5
"Keratan sulfate biosynthesis",0,0,0,0,B4GALT1,B4GALT3,B4GALT2,B4GALT5
"Keratan sulfate biosynthesis",0,0,0,0,B4GALT1,B4GALT3,B4GALT2,B4GALT5
"N-Glycan Biosynthesis",0,0,0,0,B4GALT1,B4GALT3,B4GALT2,B4GALT5
"N-Glycan Biosynthesis",0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,
"Nucleotide Sugar Metabolism",0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,
"Glycerophospholipid Metabolism",-3.023208,-6.019196,-0.1135412,-0.1133867,GPD1
"Glycolysis/Gluconeogenesis",2.910285,5.90617,0,0,GPD2
"Arginine and Proline Metabolism",0.04895511,0.04895415,0.04794938,0.04795081,
"Urea cycle/amino group metabolism",0,0,0,0,
"Urea cycle/amino group metabolism",0,0,0,0,ALDH18A1
"Aminosugar Metabolism ",0,0,0,0,GNPDA1,GNPDA2
"Pentose Phosphate Pathway",0.001,0,0,0,H6PD
"Pentose Phosphate Pathway",0,999.8271,999.8318,0,H6PD
"Pentose Phosphate Pathway",2.243259,2.905426,0,0,G6PD
"Pentose Phosphate Pathway",-0.001,-999.8271,-999.8318,0,H6PD
"Glycolysis/Gluconeogenesis",0,0,0,0,G6PC,G6PC2,G6PC3
"Transport, Endoplasmic Reticular",0,0,0,0,SLC37A4
"Transport, Extracellular",46.881,-66.66667,-66.66667,-66.66667,SLC32A1
"Urea cycle/amino group metabolism",0,0,0,0,GAMT
"Transport, Endoplasmic Reticular",0,0,0,0,
"Sphingolipid Metabolism",0,0,0,0,GAL3ST1
"Sphingolipid Metabolism",0,0,0,0,GAL3ST1
"Transport, Extracellular",0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,
"Keratan sulfate degradation",0,0,0,0,GALNS,GLB1,NEU1,CTSA
"Keratan sulfate degradation",0,0,0,0,GALNS,GLB1,NEU1,CTSA
"Keratan sulfate degradation",0,0,0,0,GALNS,GLB1,NEU1,CTSA
"Keratan sulfate degradation",0,0,0,0,GALNS,GLB1,NEU1,CTSA
"Keratan sulfate degradation",0,0,0,0,GALNS,GLB1,NEU1,CTSA
"Keratan sulfate degradation",0,0,0,0,GALNS,GLB1,NEU1,CTSA
"Keratan sulfate degradation",0,0,0,0,GALNS,GLB1,NEU1,CTSA
"Keratan sulfate degradation",0,0,0,0,GALNS,GLB1,NEU1,CTSA
"Keratan sulfate degradation",0,0,0,0,GALNS,GLB1,NEU1,CTSA
"Keratan sulfate degradation",0,0,0,0,GALNS,GLB1,NEU1,CTSA
"N-Glycan Degradation",0,0,0,0,GALNS,GLB1,NEU1,CTSA
"Keratan sulfate degradation",0,0,0,0,GALNS,GLB1,NEU1,CTSA
"Keratan sulfate degradation",0,0,0,0,GALNS,GLB1,NEU1,CTSA
"Keratan sulfate degradation",0,0,0,0,GALNS,GLB1,NEU1,CTSA
"Keratan sulfate degradation",0,0,0,0,GALNS,GLB1,NEU1,CTSA
"Keratan sulfate degradation",0,0,0,0,GALNS,GLB1,NEU1,CTSA
"Keratan sulfate degradation",0,0,0,0,GALNS,GLB1,NEU1,CTSA
"Keratan sulfate degradation",0,0,0,0,GALNS,GLB1,NEU1,CTSA
"Keratan sulfate degradation",0,0,0,0,GALNS,GLB1,NEU1,CTSA
"Sphingolipid Metabolism",0,0,0,0,GALC
"Transport, Extracellular",0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,
"Transport, Lysosomal",0,0,0,0,
"Sphingolipid Metabolism",0,0,0,0,B4GALNT1
"Sphingolipid Metabolism",0,0,0,0,B4GALNT1
"Sphingolipid Metabolism",0,0,0,0,B4GALNT1
"Sphingolipid Metabolism",0,0,0,0,B4GALNT1
"Galactose metabolism",0,0,0,0,GALK1,GALK2
"Chondroitin / heparan sulfate biosynthesis",0,0,0,0,CSGALNACT2,CSGALNACT1
"Chondroitin / heparan sulfate biosynthesis",0,0,0,0,CHSY1,CHSY3,CSGALNACT2,CSGALNACT1,CHPF
"Chondroitin / heparan sulfate biosynthesis",0,0,0,0,CHSY1,CHSY3,CSGALNACT2,CSGALNACT1,CHPF
"Chondroitin / heparan sulfate biosynthesis",0,0,0,0,CHSY1,CHSY3,CSGALNACT2,CSGALNACT1,CHPF
"Chondroitin / heparan sulfate biosynthesis",0,0,0,0,CHSY1,CHSY3,CSGALNACT2,CSGALNACT1,CHPF
"O-Glycan Biosynthesis",0,0,0,0,GALNT6,GALNT5,GALNT13,GALNTL2,GALNT1,GALNT2,GALNT3,GALNT8,GALNT9,GALNT7,GALNT10,GALNT11,GALNT14,GALNT12,GALNT4
"Galactose metabolism",0,0,0,0,AKR1A1,AKR1B1
"Transport, Golgi Apparatus",0,0,0,0,
"Transport, Lysosomal",0,0,0,0,
"Galactose metabolism",-996.7009,-996.6949,-996.6828,-996.6863,GALT
"Chondroitin / heparan sulfate biosynthesis",0,0,0,0,B3GALT6
"Chondroitin / heparan sulfate biosynthesis",0,0,0,0,B4GALT7
"Galactose metabolism",1000,1000,1000,1000,UGP1,UGP2
"Transport, Extracellular",-26.55232,100,-100,100,SLC2A8,SLC2A1,SLC2A2,SLC2A3,SLC2A10
"Transport, Extracellular",26.55232,-100,100,-100,SLC5A1
"Transport, Extracellular",-100,-100,-100,-100,SLC5A9
"Transport, Extracellular",100,100,100,100,SLC5A1
"Transport, Lysosomal",0,0,0,0,
"Starch and Sucrose Metabolism",0,0,0,0,MGAM
"Transport, Extracellular",0,0,0,0,SLC2A1,SLC2A2,SLC2A4
"Sphingolipid Metabolism",0,0,0,0,SLC33A1
"Sphingolipid Metabolism",0,0,0,0,SLC33A1
"Sphingolipid Metabolism",0,0,0,0,SLC33A1
"Sphingolipid Metabolism",0,0,0,0,SLC33A1
"Glycolysis/Gluconeogenesis",2.466896,2.24349,3.177858,3.186806,GAPDH,GAPDHS
"IMP Biosynthesis",0.02236323,0.02238363,0.02248566,0.02245505,GART
"N-Glycan Degradation",0,0,0,0,AGA
"Keratan sulfate degradation",0,0,0,0,AGA
"N-Glycan Degradation",0,0,0,0,AGA
"Sphingolipid Metabolism",0,0,0.001,0.001,GBA
"Sphingolipid Metabolism",0,0,0,0,GBA
"Sphingolipid Metabolism",0,0,0,0,GBGT1
"Transport, Extracellular",0,0,0,0,
"Transport, Lysosomal",0,0,0,0,
"Glyoxylate and Dicarboxylate Metabolism",0,0,0.1193928,0,ALDH1A1,ALDH3A1,ALDH1A3,ALDH3B1,ALDH3B2,ALDH9A1,ALDH3A2,ALDH7A1,ALDH1A2
"Glyoxylate and Dicarboxylate Metabolism",0,0,0,0,ALDH2,ALDH1B1,ALDH6A1,ALDH18A1,ALDH5A1,ALDH4A1
"Glycine, Serine, and Threonine Metabolism",0,0,0,0,DLD,GCSH,GLDC,AMT
"Glycine, Serine, and Threonine Metabolism",0,0,0,0,DLD,GCSH,GLDC,AMT
"Glycine, Serine, and Threonine Metabolism",0,0,0,0,DLD,GCSH,GLDC,AMT
"Glycine, Serine, and Threonine Metabolism",0,0,0,0,DLD,GCSH,GLDC,AMT
"Glycine, Serine, and Threonine Metabolism",0,0,0,0,DLD,GCSH,GLDC,AMT
"Glycine, Serine, and Threonine Metabolism",0,0,0,0,DLD,GCSH,GLDC,AMT
"Transport, Extracellular",-100,-100,-100,-100,SLCO1B1,SLCO1B3,SLCO1A2
"Transport, Extracellular",100,100,100,100,SLC10A1,SLC10A2
"Transport, Extracellular",-100,-100,-100,-100,ABCB11,ABCC3
"Transport, Extracellular",-100,-100,-100,-100,
"Transport, Peroxisomal",0,0,0,0,
"Blood Group Biosynthesis",0,0,0,0,GCNT2
"Transport, Extracellular",0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,
"Transport, Extracellular",0,0,0,0,
"Transport, Peroxisomal",0,0,0,0,
"Transport, Golgi Apparatus",0,0,0,0,SLC35C1
"Transport, Golgi Apparatus",0,0,0,0,
"Aminosugar Metabolism ",0,0,0,0,GFPT1,GFPT2
"Fructose and Mannose Metabolism",0,0,0,0,TSTA3
"Folate Metabolism",0,0,0,0,GGH
"Folate Metabolism",0,0,0,0,GGH
"Folate Metabolism",0,0,0,0,GGH
"Folate Metabolism",0,0,0,0,GGH
"Folate Metabolism",0,0,0,0,GGH
"Folate Metabolism",0,0,0,0,GGH
"Folate Metabolism",0,0,0,0,GGH
"Folate Metabolism",0,0,0,0,GGH
"Folate Metabolism",0,0,0,0,GGH
"Folate Metabolism",0,0,0,0,GGH
"Folate Metabolism",0,0,0,0,GGH
"Folate Metabolism",0,0,0,0,GGH
"Folate Metabolism",0,0,0,0,GGH
"Folate Metabolism",0,0,0,0,GGH
"Folate Metabolism",0,0,0,0,GGH
"Folate Metabolism",0,0,0,0,GGH
"Folate Metabolism",0,0,0,0,GGH
"Folate Metabolism",0,0,0,0,GGH
"Glutathione Metabolism",0,0,0.001,0.001,
"Starch and Sucrose Metabolism",0.2998296,0.3001032,0.301471,0.3010606,GYG1,GYS1,GYS2,GYG2
"Eicosanoid Metabolism",0,0,0,0,GGT5
"Eicosanoid Metabolism",0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,
"N-Glycan Biosynthesis",0,0,0,0,
"Glycine, Serine, and Threonine Metabolism",0.1460411,0.1452045,0.01062842,0.1377762,SHMT1
"Glycine, Serine, and Threonine Metabolism",0,0,0,0,SHMT2
"Lysine Metabolism",0,0,0,0,SHMT1
"Lysine Metabolism",0,0,0,0,SHMT2
"Nucleotides",0.06364261,0.001714875,0.001722691,0.001720347,GUK1
"Nucleotides",0,0,0,0,
"Ascorbate and Aldarate Metabolism",0,0,0,0,ALDH1A1,ALDH3A1,ALDH1A3,ALDH3B1,ALDH3B2,ALDH9A1,ALDH3A2,ALDH1A2
"Ascorbate and Aldarate Metabolism",0,0,0,0,ALDH2,ALDH1B1,ALDH4A1
"Transport, Endoplasmic Reticular",-1000,-1000,-1000,-1000,
"Sphingolipid Metabolism",0,0,0,0,GLA
"Sphingolipid Metabolism",0,0,0,0,GALNS,GLB1,NEU1,CTSA
"Starch and Sucrose Metabolism",0,0,0,0,GBE1
"Heparan sulfate degradation",0,0,0,0,GUSB
"Chondroitin sulfate degradation",0,0,0,0,GUSB
"Chondroitin sulfate degradation",0,0,0,0,GUSB
"Chondroitin sulfate degradation",0,0,0,0,GUSB
"Chondroitin sulfate degradation",0,0,0,0,GUSB
"Hyaluronan Metabolism",0.0005,0.002,0,0.0005,GUSB
"Hyaluronan Metabolism",0.0005,0.002,0,0.0005,GUSB
"Chondroitin / heparan sulfate biosynthesis",0,0,0,0,
"Chondroitin / heparan sulfate biosynthesis",0,0,0,0,GLCE
"Chondroitin / heparan sulfate biosynthesis",0,0,0,0,CHSY1,CHSY3,CHPF2,CHPF
"Chondroitin / heparan sulfate biosynthesis",0,0,0,0,CHSY1,CHSY3,CHPF2,CHPF
"Chondroitin / heparan sulfate biosynthesis",0,0,0,0,CHSY1,CHSY3,CHPF2,CHPF
"Chondroitin / heparan sulfate biosynthesis",0,0,0,0,CHSY1,CHSY3,CHPF2,CHPF
"Chondroitin / heparan sulfate biosynthesis",0,0,0,0,EXT1,EXT2
"Chondroitin / heparan sulfate biosynthesis",0,0,0,0,EXT1,EXT2
"Chondroitin / heparan sulfate biosynthesis",0,0,0,0,EXT1,EXT2
"Chondroitin / heparan sulfate biosynthesis",0,0,0,0,EXT1,EXT2
"Chondroitin / heparan sulfate biosynthesis",0,0,0,0,B3GAT2,B3GAT3,B3GAT1
"Transport, Extracellular",-100,-100,-100,-100,
"Heparan sulfate degradation",0,0,0,0,NAGLU
"Heparan sulfate degradation",0,0,0,0,NAGLU
"Heparan sulfate degradation",0,0,0,0,NAGLU
"Heparan sulfate degradation",0,0,0,0,NAGLU
"Heparan sulfate degradation",0,0,0,0,NAGLU
"Chondroitin / heparan sulfate biosynthesis",0,0,0,0,NDST1,NDST4,NDST2,NDST3
"N-Glycan Biosynthesis",0,0,0,0,DPAGT1
"N-Glycan Biosynthesis",0,0,0,0,DPAGT1
"Chondroitin / heparan sulfate biosynthesis",0,0,0,0,EXTL2,EXTL3
"Chondroitin / heparan sulfate biosynthesis",0,0,0,0,EXT1,EXT2,EXTL1,EXTL3
"Chondroitin / heparan sulfate biosynthesis",0,0,0,0,EXT1,EXT2,EXTL1,EXTL3
"Chondroitin / heparan sulfate biosynthesis",0,0,0,0,EXT1,EXT2,EXTL1,EXTL3
